"id","classe","dur","aci","csh","th","h","rugo","mean","sd","sem","median","mode","q25","q75","iqr","cent","skew","kurt","sfm","sh","prec","time.P1","time.M","time.P2","time.IPR","freq.P1","freq.M","freq.P2","freq.IPR","start.DOM","end.DOM","mean.Peakf","mean.Fun","min.Fun","max.Fun","M","NDSI","ZCR","SNR"
"1-1","amostraA",1.44333333333333,181.135349276082,0.592422932098876,0.934117862968294,0.610517774656965,0.0117284999959188,4244.79149503842,1198.92620923156,3703.7109375,74.9328880769723,3359.1796875,3359.1796875,5167.96875,1808.7890625,4244.79149503842,3.90991094764691,19.5946921325225,0.000347075756614916,0.653576811727973,86.1328125,0.176016260162602,0.516314363143631,1.19691056910569,1.02089430894309,2.928515625,3.617578125,6.373828125,3.4453125,4.9095703125,3.3591796875,5.76306818181818,4.05109506679218,0.49,6.3,1.86976764482449e-07,0.99998308067001,0.178520368886585,0.384267414801771
"1-2","amostraA",1.44333333333333,188.668779708492,0.576888042209725,0.930290181354304,0.611757884288392,0.0113077513118931,4322.53260732347,1189.52166428708,3875.9765625,74.3451040179428,3273.046875,3359.1796875,5167.96875,1808.7890625,4322.53260732347,3.3999748523727,14.3608450388524,0.000315965574066926,0.65759899066956,86.1328125,0.0586720867208672,0.481111111111111,1.12650406504065,1.06783197831978,2.928515625,3.78984375,6.4599609375,3.5314453125,5.340234375,3.4453125,5.60478515625,4.16488027903469,0.648529411764706,6.3,1.84659819567381e-07,0.999985100735405,0.176666509559944,0.391773992521806
"1-3","amostraA",1.44333333333333,187.586947525677,0.572755059620955,0.932768166402266,0.610525573926527,0.0108344449394835,4277.12627593422,1154.64733478513,3875.9765625,72.1654584240706,3445.3125,3445.3125,5081.8359375,1636.5234375,4277.12627593422,3.5814672195372,15.8049747875758,0.0003309943812915,0.654530885505404,86.1328125,0.129078590785908,0.504579945799458,1.149972899729,1.02089430894309,3.0146484375,3.78984375,6.373828125,3.3591796875,5.2541015625,4.306640625,5.232568359375,3.83682029426369,0.26094674556213,6.3,1.76593242309524e-07,0.999988061564214,0.173225872335077,0.38589500729418
"1-4","amostraA",1.44331065759637,192.184149382937,0.592215388251772,0.931486985082204,0.615280250627815,0.0104021203732572,4301.33777123245,1117.80566375973,3962.109375,69.8628539849833,3962.109375,3445.3125,5081.8359375,1636.5234375,4301.33777123245,3.47862342597579,15.3595624342402,0.000322846065542024,0.660535531340265,86.1328125,0.0938738639087071,0.504572018509301,1.18515753184743,1.09128366793872,3.0146484375,3.8759765625,6.2876953125,3.273046875,4.7373046875,4.651171875,5.62734375,4.59674321722581,0.558227848101266,6.3,1.62371291573326e-07,0.999985430630541,0.180282796543598,0.404125303331128
"1-5","amostraA",1.44333333333333,197.016232882764,0.57068581003825,0.930845099240871,0.591735585059509,0.00964987173717899,4115.42544589841,1180.99622520374,3617.578125,73.8122640752335,3273.046875,3273.046875,4737.3046875,1464.2578125,4115.42544589841,4.22933911825727,22.3275962218858,0.000334532215802024,0.635697159003238,86.1328125,0.152547425474255,0.516314363143631,1.16170731707317,1.00915989159892,2.928515625,3.5314453125,6.2876953125,3.3591796875,3.0146484375,3.4453125,5.5603515625,4.57420500552079,2.00454545454545,14.7,1.5478108245275e-07,0.999972605290659,0.173760035191906,0.324220862980067
"1-6","amostraA",1.44333333333333,181.936609504789,0.571458295020141,0.93392329078771,0.617999435218219,0.010880537060261,4314.22350568841,1168.23586713502,3962.109375,73.0147416959385,3273.046875,3359.1796875,5167.96875,1808.7890625,4314.22350568841,3.34726355526548,14.2117104216319,0.000311578788931255,0.661723978097787,86.1328125,0.105609756097561,0.492845528455285,1.12650406504065,1.02089430894309,2.928515625,3.8759765625,6.373828125,3.4453125,4.995703125,4.5650390625,5.78655894886364,4.46193452445387,0.648529411764706,6.3,1.80379722417829e-07,0.999987990506004,0.174891203594602,0.387193793043326
"1-7","amostraA",1.44331065759637,192.770322360806,0.581056546652416,0.936683098991985,0.615456693974626,0.0104122526344864,4303.19220668408,1265.61287783861,3789.84375,79.1008048649134,3359.1796875,3273.046875,5340.234375,2067.1875,4303.19220668408,3.48147369273741,15.0668669612779,0.000333977452611418,0.657059676465768,86.1328125,0.0938738639087071,0.516306251497889,1.12648636690449,1.03261250299578,2.928515625,3.7037109375,6.4599609375,3.5314453125,4.7373046875,3.4453125,5.294296875,4.15469344252239,2.00454545454545,14.7,1.78228018846139e-07,0.999983918967696,0.180329929300864,0.489248695570789
"1-8","amostraA",1.44333333333333,189.055049956498,0.56930416958829,0.940158257751547,0.624166703747125,0.0123452420728085,4387.74277414312,1254.66093867888,3875.9765625,78.4163086674298,3273.046875,3359.1796875,5512.5,2153.3203125,4387.74277414312,3.46792556715872,15.4564690031055,0.00034030264553182,0.663895358681274,86.1328125,0.105609756097561,0.434173441734417,1.05609756097561,0.950487804878049,2.928515625,3.78984375,6.6322265625,3.7037109375,3.1869140625,3.1869140625,5.5412109375,4.12309406279994,2.00454545454545,6.3,2.2553869153032e-07,0.99998570777948,0.178001916702016,0.575261099836663
"1-9","amostraA",1.44333333333333,200.341660444122,0.581046871735719,0.933873158087256,0.612639367306249,0.00952330159515489,4254.70962016175,1235.61018332472,3789.84375,77.2256364577949,3359.1796875,3359.1796875,5167.96875,1808.7890625,4254.70962016175,3.67798449685603,16.9553932299398,0.000336078859831259,0.656019890925066,86.1328125,0.164281842818428,0.516314363143631,1.12650406504065,0.962222222222222,2.928515625,3.7037109375,6.54609375,3.617578125,5.0818359375,3.617578125,5.586328125,4.37950757575758,1.63333333333333,6.3,1.57409512508455e-07,0.999984852851198,0.175535341157248,2.13099513010969
"1-10","amostraA",1.44333333333333,187.59827744787,0.577091838118819,0.968752067815855,0.657517089191235,0.0138948104845755,4602.53307086317,1137.75103426364,4737.3046875,71.1094396414778,3273.046875,3531.4453125,5512.5,1981.0546875,4602.53307086317,2.51757916890113,8.35478299626517,0.000318723689464421,0.678725869121157,86.1328125,0.0821409214092141,0.551517615176152,1.29078590785908,1.20864498644986,2.928515625,4.651171875,6.373828125,3.4453125,3.0146484375,5.4263671875,4.9095703125,4.3926003816445,1.8375,14.7,5.18056063717611e-07,0.999986941700302,0.214230726932805,1.12783739511251
"1-11","amostraA",1.44333333333333,170.840895504019,0.559319677638612,0.952847788412162,0.620651079555473,0.00781832052036446,4172.42828987227,1161.06558712385,3789.84375,72.5665991952405,3273.046875,3273.046875,4909.5703125,1636.5234375,4172.42828987227,3.86870483781194,19.56331312976,0.000358487094369738,0.651364349168227,86.1328125,0.117344173441734,0.492845528455285,1.19691056910569,1.07956639566396,2.928515625,3.7037109375,6.2876953125,3.3591796875,3.3591796875,3.3591796875,5.4263671875,3.91839015151515,1.575,6.3,2.13391349528627e-07,0.999975910084623,0.167758558388713,0.627793974732752
"1-12","amostraA",1.44333333333333,179.492577417027,0.570283000928384,0.952420171367258,0.64002021746144,0.010136619755646,4365.80360020805,1274.40102763277,3875.9765625,79.6500642270482,3273.046875,3273.046875,5426.3671875,2153.3203125,4365.80360020805,3.79571548704107,19.1339318960515,0.000374792700591233,0.671993555683152,86.1328125,0.105609756097561,0.504579945799458,1.23211382113821,1.12650406504065,2.928515625,3.78984375,6.54609375,3.617578125,5.0818359375,3.0146484375,5.3230078125,4.15292481073326,0.49,6.3,2.54194478562051e-07,0.999977582018694,0.179305902499568,0.533882783882785
"1-13","amostraA",1.44333333333333,178.579468792808,0.580991869266,0.942865825556829,0.626459052652656,0.00884593580437769,4258.65667922187,1188.39264482994,3875.9765625,74.2745403018712,3186.9140625,3273.046875,4995.703125,1722.65625,4258.65667922187,3.68468999739724,18.1235388789851,0.000345477133331399,0.664420149370338,86.1328125,0.0704065040650406,0.457642276422764,1.06783197831978,0.997425474254742,2.928515625,3.78984375,6.373828125,3.4453125,3.273046875,6.2876953125,5.53900240384615,4.44230370256703,1.52068965517241,14.7,1.91955519648282e-07,0.999982295860007,0.17544107712369,0.578151343846081
